phrase;rel_page;2019-04-30;2019-05-01;2019-05-02;2019-05-03;2019-05-04;2019-05-05;2019-05-06;2019-05-07;2019-05-08;2019-05-09;2019-05-10;2019-05-11;2019-05-12;2019-05-13
свойства соли мертвого моря;https://da-vita.ru/beauty-blog/sol-mertvogo-morya---sekreti-primeneniya.html;;2.0;2.0;2.0;2.0;3.0;4.0;5.0;4.0;3.0;4.0;3.0;3.0;3.0
серум для волос израильская косметика;https://da-vita.ru/catalog/izrailskie-sivorotki-serumi-dlya-volos.html;9.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
си оф спа;https://da-vita.ru/catalog/sea_of_spa.html;19.0;10.0;11.0;10.0;11.0;11.0;11.0;12.0;12.0;11.0;11.0;11.0;11.0;11.0
скраб для тела израильская косметика;https://da-vita.ru/catalog/izrailskie-skrabi-i-pilingi-dlya-tela.html;15.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
скраб израильской косметики;https://da-vita.ru/catalog/izrailskie-skrabi-i-pilingi-dlya-tela.html;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;2.0
солевой скраб для тела купить;https://da-vita.ru/catalog/solevie-mineralnie-skrabi-dlya-tela.html;101.0;23.0;15.0;14.0;13.0;12.0;12.0;12.0;13.0;14.0;13.0;11.0;13.0;14.0
соли мертвого моря купить в москве;https://da-vita.ru/catalog/sol-mertvogo-morya.html;101.0;5.0;4.0;4.0;4.0;4.0;5.0;5.0;5.0;5.0;5.0;6.0;4.0;4.0
солнцезащитный крем для лица весной;-;;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
соль dr sea;https://da-vita.ru/catalog/naturalnaya-sol-mertvogo-morya/sol_mertvogo_morya_naturalnaya_1200gr.html;26.0;50.0;46.0;50.0;50.0;50.0;50.0;51.0;47.0;44.0;56.0;52.0;47.0;48.0
соль мертвого моря;https://da-vita.ru/beauty-blog/sol-mertvogo-morya---sekreti-primeneniya.html;;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0
соль мертвого моря для ванн;https://da-vita.ru/beauty-blog/sol-mertvogo-morya---sekreti-primeneniya.html;101.0;9.0;8.0;9.0;8.0;10.0;10.0;12.0;8.0;10.0;9.0;9.0;9.0;7.0
соль мертвого моря для ванн купить;https://da-vita.ru/catalog/sol-mertvogo-morya.html;101.0;21.0;22.0;22.0;21.0;20.0;18.0;20.0;20.0;21.0;16.0;19.0;18.0;20.0
соль мертвого моря для волос;https://da-vita.ru/beauty-blog/sol-mertvogo-morya---sekreti-primeneniya.html;;3.0;3.0;2.0;2.0;3.0;3.0;3.0;3.0;5.0;6.0;5.0;5.0;5.0
соль мертвого моря для лица;https://da-vita.ru/beauty-blog/sol-mertvogo-morya---sekreti-primeneniya.html;;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0
соль мертвого моря для тела;https://da-vita.ru/beauty-blog/sol-mertvogo-morya---sekreti-primeneniya.html;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
соль мертвого моря израиль;https://da-vita.ru/beauty-blog/sol-mertvogo-morya---sekreti-primeneniya.html;101.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0
соль мертвого моря купить;https://da-vita.ru/catalog/sol-mertvogo-morya.html;39.0;6.0;9.0;10.0;5.0;5.0;8.0;5.0;4.0;5.0;6.0;6.0;6.0;5.0
соль мертвого моря купить спб;https://da-vita.ru/catalog/sol-mertvogo-morya.html;101.0;4.0;7.0;8.0;7.0;8.0;8.0;8.0;8.0;7.0;7.0;8.0;7.0;7.0
соль мертвого моря натуральная;https://da-vita.ru/beauty-blog/sol-mertvogo-morya---sekreti-primeneniya.html;;3.0;1.0;4.0;2.0;2.0;2.0;3.0;3.0;3.0;3.0;4.0;3.0;2.0
соль мертвого моря полезные свойства;https://da-vita.ru/beauty-blog/sol-mertvogo-morya---sekreti-primeneniya.html;;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0
соль мертвого моря применение;https://da-vita.ru/beauty-blog/sol-mertvogo-morya---sekreti-primeneniya.html;;2.0;2.0;2.0;2.0;2.0;2.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0
состав соли мертвого моря;https://da-vita.ru/beauty-blog/sol-mertvogo-morya---sekreti-primeneniya.html;;7.0;7.0;7.0;7.0;6.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0
средства от акне;-;;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
средства от купероза на лице;-;;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
средство от акне;-;;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
средство от купероза на лице;-;;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
сс крем на лето;-;;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
сыворотка ahava;https://da-vita.ru/catalog/ahava.html;8.0;50.0;53.0;54.0;39.0;55.0;51.0;53.0;55.0;53.0;56.0;54.0;52.0;55.0
сыворотка dr sea;https://da-vita.ru/catalog/sivorotki-dlya-lica-dr-sea.html;34.0;20.0;27.0;29.0;29.0;30.0;29.0;30.0;28.0;19.0;22.0;20.0;23.0;22.0
сыворотка для лица dr sea;https://da-vita.ru/catalog/sivorotki-dlya-lica-dr-sea.html;59.0;34.0;30.0;33.0;30.0;28.0;29.0;30.0;28.0;34.0;29.0;27.0;26.0;29.0
сыворотка для лица израильская косметика;https://da-vita.ru/catalog/izrailskie-sivorotki-dlya-lica.html;1.0;4.0;3.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
сыворотки premier;https://da-vita.ru/catalog/serumi-i-sivorotki-dlya-lica/koncentrirovannii-serum-prestige-dlya-lica-s-vitaminami-e-i-s.html;16.0;7.0;8.0;9.0;6.0;6.0;4.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0
термальная маска black pearl;https://da-vita.ru/catalog/kosmetika-s-oblepihovim-maslom/termalnaya_razogrevayushchaya_maska_dlya_lica.html;31.0;9.0;9.0;9.0;10.0;9.0;10.0;10.0;9.0;8.0;9.0;8.0;8.0;8.0
тональный крем для жирной кожи на лето;-;;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
тональный крем для лета стойкий;-;;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
тональный крем для лица на лето;-;;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
тональный крем для проблемной кожи на лето;-;;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
тональный крем для цветотипа лето;-;;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
тональный крем на весну;-;;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
тональный крем на весну для комбинированной кожи;-;;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
тональный крем на лето;-;;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
тональный крем на лето для комбинированной кожи;-;;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
тональный крем на лето для сухой кожи;-;;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
тоник dr sea;https://da-vita.ru/catalog/kosmetika-s-kastorovim-maslom/mineralnii_ochishchayushchii_tonik_s_ekstraktami_aloe_vera_i_ogurca.html;57.0;33.0;32.0;33.0;32.0;31.0;36.0;33.0;33.0;33.0;31.0;28.0;30.0;30.0
увлажняющий крем dr sea;https://da-vita.ru/catalog/rastitelnie-masla/uvlajnyayushchii_krem_s_maslami_olivi_i_papaii_i_ekstraktom_zelenogo_chaya_spf_15.html;20.0;77.0;70.0;72.0;86.0;86.0;86.0;66.0;76.0;86.0;72.0;88.0;86.0;87.0
увлажняющий крем mon platin dsm;https://da-vita.ru/catalog/nedorogie-kremi-dlya-lica/uvlajnyayushchii-krem-dlya-jirnoi-koji.html;77.0;82.0;82.0;81.0;76.0;76.0;87.0;92.0;92.0;90.0;93.0;89.0;86.0;86.0
увлажняющий крем для лета;https://da-vita.ru/beauty-blog/kak-vibrat-krem-na-leto-i-vesnu.html;;32.0;74.0;74.0;72.0;72.0;34.0;35.0;35.0;36.0;35.0;35.0;35.0;35.0
увлажняющий крем для лица на лето;https://da-vita.ru/beauty-blog/kak-vibrat-krem-na-leto-i-vesnu.html;;29.0;16.0;16.0;27.0;29.0;28.0;30.0;25.0;25.0;30.0;30.0;31.0;30.0
хлавин косметика;https://da-vita.ru/catalog/lavilin__hlavin.html;55.0;20.0;23.0;21.0;14.0;14.0;18.0;19.0;9.0;19.0;18.0;13.0;19.0;20.0
холи ленд интернет магазин;-;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
холи ленд казань официальный сайт;-;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
холи ленд купить;-;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
холи ленд купить в интернет магазине;https://da-vita.ru/catalog/holy-land.html;5.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;37.0
холи ленд купить в москве;-;13.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
холи ленд обучение в москве;-;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
холи ленд официальный сайт;-;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
холи ленд официальный сайт интернет;-;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
холи ленд официальный сайт интернет магазин;-;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
целебная грязь мертвого моря;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;;3.0;3.0;3.0;3.0;3.0;3.0;4.0;4.0;4.0;3.0;3.0;3.0;3.0
цена на израильскую косметику;https://da-vita.ru/catalog/izrailskaya-kosmetika.html;11.0;10.0;12.0;13.0;14.0;15.0;15.0;11.0;11.0;12.0;14.0;13.0;12.0;13.0
что такое акне;-;;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
шампуни premier;https://da-vita.ru/catalog/dlya-volos_premier.html;16.0;7.0;6.0;6.0;7.0;6.0;7.0;7.0;7.0;8.0;8.0;8.0;8.0;8.0
шампунь dr sea;-;52.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
шампунь dr sea купить;https://da-vita.ru/catalog/drsea.html;48.0;35.0;36.0;37.0;34.0;37.0;38.0;39.0;36.0;41.0;41.0;41.0;49.0;49.0
шампунь health beauty;https://da-vita.ru/catalog/dlya_volos_man/men_shampoo_hb.html;47.0;86.0;85.0;86.0;87.0;88.0;88.0;92.0;88.0;90.0;93.0;93.0;94.0;94.0
шампунь mon platin dsm;-;47.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0;101.0
шампунь mon platin dsm купить;-;12.0;89.0;93.0;93.0;101.0;101.0;97.0;97.0;100.0;101.0;101.0;101.0;101.0;101.0
шампунь sea of spa;-;53.0;96.0;87.0;96.0;101.0;101.0;101.0;101.0;100.0;101.0;101.0;101.0;101.0;101.0
шампунь для волос dr sea;https://da-vita.ru/catalog/shampuni-ot-vipadeniya-volos/ozdoravlivayushchii_gryazevoi_shampun_s_ekstraktami_krapivi_i_romashki.html;35.0;60.0;58.0;54.0;65.0;65.0;49.0;64.0;65.0;63.0;52.0;46.0;56.0;42.0
шампунь на основе соли мертвого моря;https://da-vita.ru/catalog/izrailskie-shampuni-dlya-volos.html;101.0;71.0;67.0;59.0;75.0;75.0;78.0;78.0;78.0;78.0;79.0;79.0;90.0;84.0
шампунь от перхоти health beauty;https://da-vita.ru/catalog/ochishchenie-problemnoi-koji-golovi/shampun-ot-perhoti-s-mikroshelkom.html;32.0;33.0;42.0;42.0;32.0;48.0;61.0;69.0;66.0;47.0;58.0;56.0;58.0;57.0
шампунь с солью мертвого моря;https://da-vita.ru/catalog/izrailskie-shampuni-dlya-volos.html;101.0;55.0;38.0;39.0;45.0;42.0;43.0;40.0;40.0;37.0;39.0;37.0;37.0;37.0
