phrase;rel_page;2018-11-30;2018-12-01;2018-12-02;2018-12-03;2018-12-04;2018-12-05;2018-12-06;2018-12-07;2018-12-08;2018-12-09;2018-12-10;2018-12-11;2018-12-12;2018-12-13;2018-12-14;2018-12-15;2018-12-16;2018-12-17;2018-12-18;2018-12-19
грязевые шампуни из израиля;https://da-vita.ru/catalog/izrailskie-shampuni-dlya-volos.html;19;17;15;18;12;16;14;12;14;9;11;10;8;5;6;5;5;5;5;5
грязи мертвого моря купить в санкт петербурге;https://da-vita.ru/catalog/gryaz-mertvogo-morya.html;8;8;8;8;8;8;8;9;10;10;9;9;9;10;9;10;10;9;10;9
грязи мертвого моря цена;https://da-vita.ru/catalog/gryaz-mertvogo-morya.html;10;9;10;8;9;7;10;9;10;6;6;7;8;8;7;7;7;7;6;7
грязь sea of spa;https://da-vita.ru/catalog/gryaz-sea-of-spa.html;27;17;40;18;24;23;20;21;26;21;13;24;21;24;23;25;22;36;36;23
грязь мертвого моря;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;2;2;2
грязь мертвого моря dr sea;https://da-vita.ru/catalog/gryaz-mertvogo-morya-dlya-oblegcheniya-psoriaza/gryaz_mertvogo_morya_1500ml.html;5;3;7;6;6;4;2;4;5;4;3;2;5;3;3;4;4;3;4;6
грязь мертвого моря sea of spa;https://da-vita.ru/catalog/gryaz-mertvogo-morya-dlya-oblegcheniya-psoriaza/gryaz_mertvogo_morya_naturalnaya_600gr.html;20;19;19;13;18;18;18;15;17;15;15;16;22;23;23;37;22;28;34;17
грязь мертвого моря для волос;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;5;5;5;4;4;5;4;4;4;3;3;3;4;4;3;4;3;4;3;3
грязь мертвого моря для волос отзывы;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
грязь мертвого моря для десен;https://da-vita.ru/catalog/gryaz-mertvogo-morya-dlya-oblegcheniya-psoriaza/gryaz-mertvogo-morya-300gr.html;61;58;58;43;41;41;57;57;50;50;51;44;50;46;46;40;36;36;48;34
грязь мертвого моря для лица;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
грязь мертвого моря для лица польза;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;80;78;82;82;81;79;78;78;78;77;78;77;76;8;6;8;8;8;8;7
грязь мертвого моря для суставов;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;12;12;13;11;11;8;12;12;12;12;11;15;7;12;14;11;6;6;8;9
грязь мертвого моря купить;https://da-vita.ru/catalog/gryaz-mertvogo-morya.html;9;14;10;7;8;7;5;8;6;5;11;5;7;7;7;7;7;10;8;7
грязь мертвого моря купить в москве;https://da-vita.ru/catalog/gryaz-mertvogo-morya.html;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2
грязь мертвого моря купить в спб;https://da-vita.ru/catalog/gryaz-mertvogo-morya.html;9;11;11;9;9;7;15;8;10;8;7;8;9;8;7;5;8;9;10;6
грязь мертвого моря от пародонтоза отзывы;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
грязь мертвого моря отзывы;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
грязь мертвого моря при воспалении десен;-;100;100;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
грязь мертвого моря применение;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;6;5;7;11;8;5;5;4;4;6;6;6;6;6;7;4;5;4;6;7
грязь мертвого моря применение в домашних условиях;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;20;8;8;6;7;6;7;14;6;7;7;4;5;5;8;6;4;4;10;4
грязь мертвого моря применение для лица;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;7;3;6;5;6;5;4;4;5;4;3;3;5;5;3;5;3;3;4;5
грязь мертвого моря цена;https://da-vita.ru/catalog/gryaz-mertvogo-morya.html;9;7;9;7;8;11;8;8;8;6;6;7;9;8;7;7;7;6;6;6
дезодорант лавилин;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
дешевый магазин профессиональной косметики для волос;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
дневной крем антивозрастной купить;https://da-vita.ru/catalog/antivozrastnie-kremi.html;1;3;3;1;1;1;2;2;3;1;1;1;1;1;5;3;3;1;1;1
дневной крем для жирной кожи купить;https://da-vita.ru/catalog/kremi-dlya-jirnoi-koji.html;16;16;10;8;6;7;6;6;7;5;12;6;6;5;5;11;10;5;6;5
дневной крем для комбинированной кожи купить;https://da-vita.ru/catalog/dnevnie-kremi-dlya-kombinirovannoi-koji.html;16;6;4;4;4;4;6;7;10;7;7;7;6;6;8;8;6;6;6;6
дневной крем для лета;https://da-vita.ru/beauty-blog/kak-vibrat-krem-na-leto-i-vesnu.html;11;11;11;10;11;10;9;10;10;9;9;11;12;13;14;17;10;11;8;11
дневной крем для нормальной кожи купить;https://da-vita.ru/catalog/dnevnie-kremi-dlya-normalnoi-koji.html;5;5;7;3;5;5;4;3;3;3;7;3;5;4;5;6;5;2;8;2
дневной крем для сухой кожи купить;https://da-vita.ru/catalog/dnevnie-kremi.html;2;5;6;3;3;4;3;4;4;2;3;2;3;2;2;7;2;3;3;7
дневной крем от морщин купить;https://da-vita.ru/catalog/kremi-ot-morshchin.html;4;3;3;3;1;2;4;3;3;1;1;1;1;1;1;1;2;1;5;2
дневной крем с spf купить;https://da-vita.ru/catalog/dnevnie-kremi-s-spf.html;39;14;44;39;30;27;20;29;42;31;20;19;5;4;5;4;3;5;5;5
дневные крема антивозрастные;https://da-vita.ru/catalog/antivozrastnie-kremi-dnevnie.html;13;9;11;11;19;18;13;18;14;9;8;9;8;11;10;11;15;20;14;11
доктор си израильская косметика;https://da-vita.ru/catalog/drsea.html;27;25;26;20;28;22;21;22;23;22;20;18;19;33;11;13;8;10;12;10
дорогая мужская косметика;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
жемчужный крем;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
заказать профессиональную косметику для волос;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
зачем нужен тоник для лица;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
защитные крема для рук купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
золотая маска для глаз купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
золотая маска купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
золотая сыворотка;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
золотой крем для глаз;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
золотые патчи;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
золотые патчи для глаз;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
золотые патчи для глаз корея;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
золотые патчи для глаз купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
золотые патчи для кожи вокруг глаз;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
золотые патчи под глаза;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
израиль косметика для волос;https://da-vita.ru/catalog/izrailskaya-kosmetika-dlya-volos.html;4;4;4;3;3;8;3;4;4;3;3;3;4;5;6;3;3;3;3;7
израильская грязь мертвого моря купить;https://da-vita.ru/catalog/gryaz-mertvogo-morya.html;8;4;4;6;6;7;4;6;6;8;7;8;8;8;7;7;7;14;5;5
израильская косметика;https://da-vita.ru/catalog/izrailskaya-kosmetika.html;2;4;6;5;4;4;5;3;4;3;1;3;3;3;2;1;2;3;6;1
израильская косметика ahava мертвого моря;https://da-vita.ru/catalog/ahava.html;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;4;5;5;4
израильская косметика dr sea;https://da-vita.ru/catalog/drsea.html;20;15;18;16;14;14;13;15;11;11;11;11;11;12;9;9;11;11;8;11
израильская косметика health and beauty;https://da-vita.ru/catalog/health-amp-beauty.html;23;21;22;21;21;15;19;18;14;10;15;15;14;15;16;17;15;11;13;16
израильская косметика health beauty интернет магазин;https://da-vita.ru/catalog/health-amp-beauty.html;9;13;12;9;12;11;9;10;11;9;9;8;11;9;8;16;11;11;12;10
израильская косметика kedem;https://da-vita.ru/catalog/kedem---100-naturalnaya-kosmetika.html;4;4;4;4;4;3;3;4;4;4;4;4;3;3;3;3;3;3;3;3
израильская косметика mon platin;https://da-vita.ru/catalog/mon-platin.html;7;7;7;7;7;7;7;7;7;7;7;7;7;7;8;7;7;7;8;7
израильская косметика naomi;https://da-vita.ru/catalog/naomi.html;20;19;47;16;16;16;17;16;18;15;15;15;15;13;18;9;18;32;16;15
израильская косметика premier;https://da-vita.ru/catalog/premier.html;3;3;5;3;3;3;3;3;3;3;3;3;3;3;4;3;4;3;3;3
израильская косметика sea of spa;https://da-vita.ru/catalog/sea_of_spa.html;5;5;1;5;3;5;5;5;4;1;4;4;4;6;4;4;5;4;5;5
израильская косметика бренды;https://da-vita.ru/catalog/izrailskaya-kosmetika.html;6;6;6;5;6;6;6;5;6;6;6;6;5;6;7;6;7;7;7;7
израильская косметика в санкт петербурге;https://da-vita.ru/shops/firmennii_magazin_kosmetiki_mertvogo_morya_na_ligovskom_prospekte.html;2;2;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2
израильская косметика дезодорант;https://da-vita.ru/catalog/dezodoranti.html;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
израильская косметика для волос;https://da-vita.ru/catalog/izrailskaya-kosmetika-dlya-volos.html;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
израильская косметика для волос купить;https://da-vita.ru/catalog/izrailskaya-kosmetika-dlya-volos.html;8;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
израильская косметика для лица;https://da-vita.ru/catalog/izrailskie-kremi-dlya-lica.html;9;8;12;12;10;10;7;8;10;7;8;6;8;7;9;8;17;10;18;12
израильская косметика для мужчин купить;https://da-vita.ru/catalog/dlya_britya.html;7;10;11;11;12;10;10;10;9;9;14;16;11;11;5;5;7;6;5;6
израильская косметика для ног;https://da-vita.ru/catalog/izrailskie-kremi-dlya-ruk-i-nog.html;8;6;8;6;6;6;6;7;6;5;6;6;5;6;6;5;7;6;4;7
израильская косметика заказать;https://da-vita.ru/catalog/izrailskaya-kosmetika.html;5;4;3;4;5;3;4;5;4;3;3;4;3;4;4;5;3;4;3;3
израильская косметика каталог и цены;https://da-vita.ru/catalog/izrailskaya-kosmetika.html;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
израильская косметика крем для рук;https://da-vita.ru/catalog/izrailskie-kremi-dlya-ruk-i-nog.html;3;4;3;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2
израильская косметика лавилин;https://da-vita.ru/catalog/lavilin__hlavin.html;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;2;3;1
израильская косметика маски для волос;https://da-vita.ru/catalog/izrailskaya-kosmetika-dlya-volos.html;9;9;7;7;8;7;9;9;9;7;7;7;6;8;5;5;7;8;8;6
израильская косметика мертвого моря;https://da-vita.ru/catalog/izrailskaya-kosmetika.html;2;2;3;2;3;2;1;3;3;3;1;3;2;2;1;3;2;3;3;2
израильская косметика мертвого моря dr sea;https://da-vita.ru/catalog/drsea.html;8;8;10;7;10;11;7;18;9;8;8;4;4;8;6;5;6;8;6;7
израильская косметика мертвого моря dr sea отзывы;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
израильская косметика мертвого моря sea of spa;https://da-vita.ru/catalog/sea_of_spa.html;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
израильская косметика мертвого моря купить в москве;https://da-vita.ru/catalog/izrailskaya-kosmetika.html;5;5;5;3;4;4;4;4;3;2;1;1;1;1;1;1;3;5;5;5
израильская косметика мертвого моря купить в спб;https://da-vita.ru/catalog/izrailskaya-kosmetika.html;5;4;5;3;4;5;3;3;3;3;3;3;4;4;5;5;5;5;5;5
израильская косметика наоми;https://da-vita.ru/catalog/naomi.html;60;22;24;17;16;17;19;17;23;15;16;15;15;13;14;11;33;21;14;13
израильская косметика от псориаза;https://da-vita.ru/catalog/vsya-kosmetika-ot-psoriaza.html;4;3;5;3;5;2;3;3;4;2;2;2;3;2;2;2;2;2;2;2
израильская косметика премьер;https://da-vita.ru/catalog/premier.html;3;2;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;9
израильская косметика премьер каталог;https://da-vita.ru/catalog/premier.html;4;4;5;3;5;5;7;5;4;6;7;5;6;6;5;5;5;5;6;5
израильская косметика хлавин;https://da-vita.ru/catalog/lavilin__hlavin.html;12;13;12;11;10;9;9;11;11;9;10;10;9;9;7;7;10;15;16;9
израильская косметика шампунь для волос;https://da-vita.ru/catalog/izrailskie-shampuni-dlya-volos.html;17;10;10;8;9;9;9;9;9;5;6;4;4;5;10;12;4;4;6;14
израильская лечебная косметика;https://da-vita.ru/catalog/izrailskaya-kosmetika.html;5;5;5;5;4;4;3;4;4;4;4;4;4;3;4;4;4;5;5;5
израильская профессиональная косметика;https://da-vita.ru/catalog/izrailskaya-kosmetika.html;18;17;17;97;11;10;10;11;8;10;9;8;17;16;17;14;16;80;80;79
израильская профессиональная косметика для волос;https://da-vita.ru/catalog/izrailskaya-kosmetika-dlya-volos.html;5;3;5;3;3;11;3;3;3;3;3;3;3;3;3;3;3;2;3;3
израильская профессиональная косметика для лица;https://da-vita.ru/catalog/izrailskaya-kosmetika-dlya-lica.html;50;16;15;13;13;11;12;13;14;10;12;11;36;10;14;13;10;23;12;22
израильская соль мертвого моря;https://da-vita.ru/beauty-blog/sol-mertvogo-morya---sekreti-primeneniya.html;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
израильская соль мертвого моря купить;https://da-vita.ru/catalog/sol-mertvogo-morya.html;1;6;4;1;1;1;1;1;4;1;1;4;1;1;1;1;2;1;1;1
израильские кремы health beauty;https://da-vita.ru/catalog/kremi-health-and-beauty.html;10;6;10;8;8;7;9;8;9;6;6;6;7;6;7;7;13;8;8;22
израильский пилинг лица;https://da-vita.ru/catalog/izrailskie-skrabi-i-pilingi-dlya-tela.html;8;8;9;6;7;6;7;7;7;7;7;7;7;7;6;6;6;6;6;6
израильский сайт косметики;https://da-vita.ru/catalog/izrailskaya-kosmetika.html;82;82;88;13;16;14;84;82;82;13;9;9;12;5;15;14;10;87;87;88
израильский шампунь health and beauty купить;https://da-vita.ru/catalog/health-amp-beauty.html;22;19;24;14;17;12;13;12;14;12;12;13;14;14;12;8;11;13;14;10
интернет магазин израильской косметики;https://da-vita.ru/catalog/izrailskaya-kosmetika.html;4;4;3;3;4;2;4;4;4;4;4;4;2;4;4;4;4;2;4;4
интернет магазин израильской косметики sea of spa;https://da-vita.ru/catalog/sea_of_spa.html;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;6;4;5;7
интернет магазин косметики для волос;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
интернет магазин косметики для лица;https://da-vita.ru/catalog/lico.html;56;53;57;52;58;58;50;46;51;51;51;55;65;54;50;52;51;49;47;50
интернет магазин профессиональной косметики;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
интернет магазин профессиональной косметики для волос спб;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
интернет магазин профессиональной косметики спб;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
как быстро избавиться от прыщей на лице;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
как выбрать крем для лица после 30;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
как выбрать крем для лица после 40;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
как избавиться от акне;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
как избавиться от акне на лице;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
как избавиться от купероза на лице;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
как избавиться от прыщей на лице;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
как избавиться от угрей на лице;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
как клеить патчи под глаза;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
как лечить акне;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
как лечить купероз на лице;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
как накладывать патчи под глаза;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
как наносить альгинатную маску;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
как наносить альгинатные маски для тела;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
